Frame,Time,Object,VertexID,X,Y,Z,R,G,B
0,0.000,objbody,0,0.0224,1.5815,0.5370,150,150,150
0,0.000,objbody,1,0.0317,1.5739,0.5141,150,150,150
0,0.000,objbody,2,0.0224,1.5661,0.4919,150,150,150
0,0.000,objbody,3,0.0246,1.5447,0.5596,150,150,150
0,0.000,objbody,4,0.0347,1.5363,0.5361,150,150,150
0,0.000,objbody,5,0.0246,1.5279,0.5127,150,150,150
0,0.000,objbody,6,0.0280,1.4720,0.5990,150,150,150
0,0.000,objbody,7,0.0396,1.4664,0.5705,150,150,150
0,0.000,objbody,8,0.0280,1.4609,0.5420,150,150,150
0,0.000,objbody,9,0.0296,1.3884,0.6180,150,150,150
0,0.000,objbody,10,0.0418,1.3881,0.5832,150,150,150
0,0.000,objbody,11,0.0296,1.3878,0.5484,150,150,150
0,0.000,objbody,12,0.0514,1.2250,0.5614,150,150,150
0,0.000,objbody,13,0.0674,1.2568,0.5233,150,150,150
0,0.000,objbody,14,0.0514,1.2884,0.4885,150,150,150
0,0.000,objbody,15,0.0786,1.1033,0.4573,150,150,150
0,0.000,objbody,16,0.1137,1.1969,0.4246,150,150,150
0,0.000,objbody,17,0.0804,1.2686,0.3774,150,150,150
0,0.000,objbody,18,0.1212,0.9857,0.2877,150,150,150
0,0.000,objbody,19,0.1723,1.1289,0.2530,150,150,150
0,0.000,objbody,20,0.1235,1.2496,0.2504,150,150,150
0,0.000,objbody,21,0.1985,1.0861,0.0666,150,150,150
0,0.000,objbody,22,0.1353,1.2185,-0.0815,150,150,150
0,0.000,objbody,23,0.0000,1.2790,-0.0471,150,150,150
0,0.000,objbody,24,0.0871,0.9065,-0.1797,150,150,150
0,0.000,objbody,25,0.1529,1.0179,-0.2081,150,150,150
0,0.000,objbody,26,0.1081,1.1231,-0.2222,150,150,150
0,0.000,objbody,27,0.0000,1.1599,-0.2406,150,150,150
0,0.000,objbody,28,0.0340,1.0216,-0.4231,150,150,150
0,0.000,objbody,29,0.0327,1.0179,-0.4615,150,150,150
0,0.000,objbody,30,0.0337,1.3004,0.6019,150,150,150
0,0.000,objbody,31,0.0477,1.3174,0.5657,150,150,150
0,0.000,objbody,32,0.0337,1.3344,0.5295,150,150,150
0,0.000,objbody,33,0.0000,1.0162,-0.4225,150,150,150
0,0.000,objbody,34,0.1287,0.9366,0.2004,150,150,150
0,0.000,objbody,35,0.1912,1.1065,0.1707,150,150,150
