Frame,Time,Object,VertexID,X,Y,Z,R,G,B
0,0.0,U3DMesh,4,-13.776704564499443,7.609210917126456,76.61118966244645,175,160,148
1,1.4615209144561259,U3DMesh,4,-14.13066703617454,7.575996240910412,76.703790111897,175,160,148
2,2.9230418289122517,U3DMesh,4,-14.438917325057364,7.444804731856306,76.78583165455049,175,160,148
3,4.384562743368377,U3DMesh,4,-14.709028894285106,7.1145319494823775,76.85903318221106,175,160,148
4,5.8460836578245035,U3DMesh,4,-14.909260403473885,6.507440042644861,76.855259374641,175,160,148
5,7.307604572280629,U3DMesh,4,-15.059178786394549,5.78497560095107,76.8141222873275,175,160,148
6,8.769125486736755,U3DMesh,4,-15.171126461640993,4.751443438695436,76.67840737878872,175,160,148
7,10.23064640119288,U3DMesh,4,-15.243345765413467,3.800082059078555,76.54217551030884,175,160,148
8,11.692167315649007,U3DMesh,4,-15.287481220385368,2.8801389198823752,76.39954626255776,175,160,148
9,13.153688230105132,U3DMesh,4,-15.306699206195972,2.309815788856002,76.29347900664139,175,160,148
10,14.615209144561257,U3DMesh,4,-15.280024073234916,1.9052300149481258,76.21183810794227,175,160,148
11,16.076730059017386,U3DMesh,4,-15.26914206647464,2.3851885482692183,76.23285252954821,175,160,148
12,17.53825097347351,U3DMesh,4,-15.077931508258157,3.030638882736779,76.2464485759993,175,160,148
13,18.999771887929636,U3DMesh,4,-14.606722521940283,4.034303684395034,76.24892998371661,175,160,148
14,20.46129280238576,U3DMesh,4,-14.174518163178835,4.83773697686451,76.13998067612857,175,160,148
15,21.922813716841887,U3DMesh,4,-13.7856608954791,5.557629542851298,75.98114473422383,175,160,148
16,23.384334631298014,U3DMesh,4,-13.642579307779561,6.017814358425094,76.065848620574,175,160,148
17,24.845855545754137,U3DMesh,4,-13.558211445391107,6.451569597009859,76.17527611610757,175,160,148
18,26.307376460210264,U3DMesh,4,-13.57441813954477,6.8914895828923095,76.34114271321134,175,160,148
19,27.768897374666388,U3DMesh,4,-13.648705283081666,7.242505382903103,76.47301919418742,175,160,148
20,29.230418289122515,U3DMesh,4,-13.710688780020243,7.453140710906633,76.55153248524284,175,160,148
0,0.0,U3DMesh,11,-11.095453057958977,11.099194555532735,77.43846773219943,184,172,157
1,1.4615209144561259,U3DMesh,11,-11.492439520732596,11.19971741608074,77.49105548220841,184,172,157
2,2.9230418289122517,U3DMesh,11,-11.854350251502192,11.196344252465027,77.54122644449272,184,172,157
3,4.384562743368377,U3DMesh,11,-12.193811996829275,10.996306603254164,77.59347817053998,184,172,157
4,5.8460836578245035,U3DMesh,11,-12.55346102785653,10.54438022273953,77.6486119482589,184,172,157
5,7.307604572280629,U3DMesh,11,-12.90986613525335,9.976176627471691,77.70184589819426,184,172,157
6,8.769125486736755,U3DMesh,11,-13.320539112467747,9.066921635057874,77.7459942771647,184,172,157
7,10.23064640119288,U3DMesh,11,-13.672407896381364,8.175902404566559,77.76190371935223,184,172,157
8,11.692167315649007,U3DMesh,11,-13.97689730169264,7.233406887939642,77.74046280579486,184,172,157
9,13.153688230105132,U3DMesh,11,-14.172980207354046,6.515995729670162,77.61396270820629,184,172,157
10,14.615209144561257,U3DMesh,11,-14.315674075097753,5.904277031359746,77.44208645178716,184,172,157
11,16.076730059017386,U3DMesh,11,-13.9470040930982,6.109251648008172,77.32602894500893,184,172,157
12,17.53825097347351,U3DMesh,11,-13.45718454890052,6.453908840743363,77.18470502110915,184,172,157
13,18.999771887929636,U3DMesh,11,-12.709931878030709,7.104554622619039,76.98314234007202,184,172,157
14,20.46129280238576,U3DMesh,11,-12.028190955697522,7.745391089612233,76.7192601381346,184,172,157
15,21.922813716841887,U3DMesh,11,-11.379432077606882,8.369801154476793,76.4293490031625,184,172,157
16,23.384334631298014,U3DMesh,11,-11.102638801140346,8.888570455376398,76.54576838189952,184,172,157
17,24.845855545754137,U3DMesh,11,-10.921043697828429,9.409653152012446,76.7065429235834,184,172,157
18,26.307376460210264,U3DMesh,11,-10.893593124955714,9.994283149408922,76.9680341857932,184,172,157
19,27.768897374666388,U3DMesh,11,-10.95334077014901,10.506965247002006,77.19195538428316,184,172,157
20,29.230418289122515,U3DMesh,11,-11.020119070541345,10.835118493617394,77.33302082821238,184,172,157
0,0.0,U3DMesh,12,-6.244727462574189,9.893799060856495,80.75749271808203,173,160,147
1,1.4615209144561259,U3DMesh,12,-6.581681952186906,10.127426182240704,80.73636198048933,173,160,147
2,2.9230418289122517,U3DMesh,12,-6.892943532726668,10.247877848518339,80.71794528258745,173,160,147
3,4.384562743368377,U3DMesh,12,-7.19060906681535,10.167942917624863,80.70425876814667,173,160,147
4,5.8460836578245035,U3DMesh,12,-7.5116282662434815,9.88789279352936,80.73846859224935,173,160,147
5,7.307604572280629,U3DMesh,12,-7.836886537188681,9.513962744129058,80.79298201803894,173,160,147
6,8.769125486736755,U3DMesh,12,-8.233640367988805,8.849126411870028,80.89672295422034,173,160,147
7,10.23064640119288,U3DMesh,12,-8.584811255981927,8.186823183322419,80.9829647963953,173,160,147
8,11.692167315649007,U3DMesh,12,-8.900777171985752,7.467848221231091,81.05462836823108,173,160,147
9,13.153688230105132,U3DMesh,12,-9.125099014430058,6.947321256531731,81.06938757454965,173,160,147
10,14.615209144561257,U3DMesh,12,-9.310635937292904,6.516486841614211,81.05447328024876,173,160,147
11,16.076730059017386,U3DMesh,12,-8.981978654734935,6.273257189323963,80.99768523071829,173,160,147
12,17.53825097347351,U3DMesh,12,-8.571874333455757,6.16858572524858,80.92484557501649,173,160,147
13,18.999771887929636,U3DMesh,12,-7.963141078805229,6.31621656042985,80.81364749168465,173,160,147
14,20.46129280238576,U3DMesh,12,-7.449425061329934,6.6694552881873985,80.71029427545908,173,160,147
15,21.922813716841887,U3DMesh,12,-6.974222559467018,7.117620785130484,80.60517047143523,173,160,147
16,23.384334631298014,U3DMesh,12,-6.651885112189064,7.567026985932227,80.61459206636188,173,160,147
17,24.845855545754137,U3DMesh,12,-6.402439016607021,8.04680458327393,80.63640777587655,173,160,147
18,26.307376460210264,U3DMesh,12,-6.254950345409554,8.643647759279027,80.68138329075275,173,160,147
19,27.768897374666388,U3DMesh,12,-6.213451386137293,9.206410351166728,80.71935399842695,173,160,147
20,29.230418289122515,U3DMesh,12,-6.217406129686751,9.581930052385932,80.74238456380323,173,160,147
0,0.0,U3DMesh,13,-4.779650065482013,7.557786326984964,81.36626474472814,153,145,136
1,1.4615209144561259,U3DMesh,13,-5.0728309720816025,7.9309797084691915,81.36775100455883,153,145,136
2,2.9230418289122517,U3DMesh,13,-5.350645244431824,8.18544031547996,81.37098200419074,153,145,136
3,4.384562743368377,U3DMesh,13,-5.621157457613926,8.242344680997174,81.37762493943394,153,145,136
4,5.8460836578245035,U3DMesh,13,-5.893272246613456,8.11092053996957,81.40817727195329,153,145,136
5,7.307604572280629,U3DMesh,13,-6.169005755200727,7.891664904948099,81.44826751538605,153,145,136
